,Region name,Object count
324,"Medial visual area, layer 6a",0
325,"Medial visual area, layer 6b",0
326,"Retrosplenial area, dorsal part",0
327,"Retrosplenial area, dorsal part, layer 1",0
328,"Retrosplenial area, dorsal part, layer 2/3",0
329,"Retrosplenial area, dorsal part, layer 4",0
330,"Retrosplenial area, dorsal part, layer 5",0
331,"Retrosplenial area, dorsal part, layer 6a",0
332,"Retrosplenial area, dorsal part, layer 6b",0
333,"Retrosplenial area, ventral part",0
334,"Retrosplenial area, ventral part, layer 1",0
335,"Retrosplenial area, ventral part, layer 2",0
336,"Retrosplenial area, ventral part, layer 2/3",0
337,"Retrosplenial area, ventral part, layer 5",0
338,"Retrosplenial area, ventral part, layer 6a",0
339,"Retrosplenial area, ventral part, layer 6b",0
340,Posterior parietal association areas,0
341,"Posterior parietal association areas, layer 1",0
342,"Posterior parietal association areas, layer 2/3",0
343,"Posterior parietal association areas, layer 4",0
344,"Posterior parietal association areas, layer 5",0
345,"Posterior parietal association areas, layer 6a",0
346,"Posterior parietal association areas, layer 6b",0
347,Anterior area,0
348,"Anterior area, layer 1",0
349,"Anterior area, layer 2/3",0
350,"Anterior area, layer 4",0
351,"Anterior area, layer 5",0
352,"Anterior area, layer 6a",0
353,"Anterior area, layer 6b",0
354,Rostrolateral visual area,0
355,"Rostrolateral area, layer 1",0
356,"Rostrolateral area, layer 2/3",0
357,"Rostrolateral area, layer 4",0
358,"Rostrolateral area, layer 5",0
359,"Rostrolateral area, layer 6a",0
360,"Rostrolateral area, layer 6b",0
361,Temporal association areas,0
362,"Temporal association areas, layer 1",0
363,"Temporal association areas, layer 2/3",0
364,"Temporal association areas, layer 4",0
365,"Temporal association areas, layer 5",0
366,"Temporal association areas, layer 6a",0
367,"Temporal association areas, layer 6b",0
368,Perirhinal area,0
369,"Perirhinal area, layer 1",0
370,"Perirhinal area, layer 2/3",0
371,"Perirhinal area, layer 5",0
372,"Perirhinal area, layer 6a",0
373,"Perirhinal area, layer 6b",0
374,Ectorhinal area,0
375,Ectorhinal area/Layer 1,0
376,Ectorhinal area/Layer 2/3,0
377,Ectorhinal area/Layer 5,0
378,Ectorhinal area/Layer 6a,0
379,Ectorhinal area/Layer 6b,0
380,Olfactory areas,0
381,Main olfactory bulb,0
382,"Main olfactory bulb, glomerular layer",0
383,"Main olfactory bulb, granule layer",0
384,"Main olfactory bulb, inner plexiform layer",0
385,"Main olfactory bulb, mitral layer",0
386,"Main olfactory bulb, outer plexiform layer",0
387,Accessory olfactory bulb,0
388,"Accessory olfactory bulb, glomerular layer",0
389,"Accessory olfactory bulb, granular layer",0
390,"Accessory olfactory bulb, mitral layer",0
391,Anterior olfactory nucleus,0
392,"Anterior olfactory nucleus, dorsal part",0
393,"Anterior olfactory nucleus, external part",0
394,"Anterior olfactory nucleus, lateral part",0
395,"Anterior olfactory nucleus, medial part",0
396,"Anterior olfactory nucleus, posteroventral part",0
397,"Anterior olfactory nucleus, layer 1",0
398,"Anterior olfactory nucleus, layer 2",0
399,Taenia tecta,0
400,"Taenia tecta, dorsal part",0
401,"Taenia tecta, dorsal part, layers 1-4",0
402,"Taenia tecta, dorsal part, layer 1",0
403,"Taenia tecta, dorsal part, layer 2",0
404,"Taenia tecta, dorsal part, layer 3",0
405,"Taenia tecta, dorsal part, layer 4",0
406,"Taenia tecta, ventral part",0
407,"Taenia tecta, ventral part, layers 1-3",0
408,"Taenia tecta, ventral part, layer 1",0
409,"Taenia tecta, ventral part, layer 2",0
410,"Taenia tecta, ventral part, layer 3",0
411,Dorsal peduncular area,0
412,"Dorsal peduncular area, layer 1",0
413,"Dorsal peduncular area, layer 2",0
414,"Dorsal peduncular area, layer 2/3",0
415,"Dorsal peduncular area, layer 5",0
416,"Dorsal peduncular area, layer 6a",0
417,Piriform area,0
418,"Piriform area, layers 1-3",0
419,"Piriform area, molecular layer",0
420,"Piriform area, pyramidal layer",0
421,"Piriform area, polymorph layer",0
422,Nucleus of the lateral olfactory tract,0
423,"Nucleus of the lateral olfactory tract, layers 1-3",0
424,"Nucleus of the lateral olfactory tract, molecular layer",0
425,"Nucleus of the lateral olfactory tract, pyramidal layer",0
426,"Nucleus of the lateral olfactory tract, layer 3",0
427,Cortical amygdalar area,0
428,"Cortical amygdalar area, anterior part",0
429,"Cortical amygdalar area, anterior part, layer 1",0
430,"Cortical amygdalar area, anterior part, layer 2",0
431,"Cortical amygdalar area, anterior part, layer 3",0
432,"Cortical amygdalar area, posterior part",0
433,"Cortical amygdalar area, posterior part, lateral zone",0
